dataset, train_time_s
cols_4_distinct_100_corr_6_skew_2,151.3415577
cols_4_distinct_100_corr_6_skew_4,141.1408973
cols_4_distinct_100_corr_6_skew_6,140.1767623
cols_4_distinct_100_corr_6_skew_8,131.3537993
cols_4_distinct_100_corr_8_skew_2,139.9466572
cols_4_distinct_100_corr_8_skew_4,132.0218766
cols_4_distinct_100_corr_8_skew_6,142.8492086
cols_4_distinct_100_corr_8_skew_8,144.5051057
cols_4_distinct_1000_corr_2_skew_2,142.8174939
cols_4_distinct_1000_corr_2_skew_4,148.2127135
cols_4_distinct_1000_corr_2_skew_6,149.8111293
cols_4_distinct_1000_corr_2_skew_8,137.8149536
cols_4_distinct_1000_corr_4_skew_2,145.111901
cols_4_distinct_1000_corr_4_skew_4,149.5132949
cols_4_distinct_1000_corr_4_skew_6,149.2020411
cols_4_distinct_1000_corr_4_skew_8,151.0612483
cols_4_distinct_1000_corr_6_skew_2,150.3546548
cols_4_distinct_1000_corr_6_skew_4,146.491924
cols_4_distinct_1000_corr_6_skew_6,146.650852
cols_4_distinct_1000_corr_6_skew_8,147.137183
cols_4_distinct_1000_corr_8_skew_2,144.5703852
cols_4_distinct_1000_corr_8_skew_4,146.1755717
cols_4_distinct_1000_corr_8_skew_6,142.7828739
cols_4_distinct_1000_corr_8_skew_8,146.8270106
cols_4_distinct_10000_corr_2_skew_2,270.1381912
cols_4_distinct_10000_corr_2_skew_4,268.7540696
cols_4_distinct_10000_corr_2_skew_6,268.4808912
cols_4_distinct_10000_corr_2_skew_8,267.8391099
cols_4_distinct_10000_corr_4_skew_2,267.2185106
cols_4_distinct_10000_corr_4_skew_4,268.6773007
cols_4_distinct_10000_corr_4_skew_6,269.3540399
cols_4_distinct_10000_corr_4_skew_8,268.1427882
cols_4_distinct_10000_corr_6_skew_2,269.7941871
cols_4_distinct_10000_corr_6_skew_4,268.2298741
cols_4_distinct_10000_corr_6_skew_6,268.4672637
cols_4_distinct_10000_corr_6_skew_8,267.7332835
cols_4_distinct_10000_corr_8_skew_2,268.3689108
cols_4_distinct_10000_corr_8_skew_4,268.0805101
cols_4_distinct_10000_corr_8_skew_6,268.071249
cols_4_distinct_10000_corr_8_skew_8,268.9597304
cols_6_distinct_10_corr_2_skew_2,154.3625751
cols_6_distinct_10_corr_2_skew_4,127.766367
cols_6_distinct_10_corr_2_skew_6,131.2120638
cols_6_distinct_10_corr_2_skew_8,145.9526806
cols_6_distinct_10_corr_4_skew_2,142.5775266
cols_6_distinct_10_corr_4_skew_4,150.3847668
cols_6_distinct_10_corr_4_skew_6,132.5588458
cols_6_distinct_10_corr_4_skew_8,138.1308157
cols_6_distinct_10_corr_6_skew_2,140.7017019
cols_6_distinct_10_corr_6_skew_4,127.7045524
cols_6_distinct_10_corr_6_skew_6,123.9612403
cols_6_distinct_10_corr_6_skew_8,136.5068572
cols_6_distinct_10_corr_8_skew_2,131.3199396
cols_6_distinct_10_corr_8_skew_4,139.6265876
cols_6_distinct_10_corr_8_skew_6,142.2624617
cols_6_distinct_10_corr_8_skew_8,130.2541442
cols_6_distinct_100_corr_2_skew_2,139.6506596
cols_6_distinct_100_corr_2_skew_4,123.7104838
cols_6_distinct_100_corr_2_skew_6,136.6149132
cols_6_distinct_100_corr_2_skew_8,121.9194212
cols_6_distinct_100_corr_4_skew_2,145.6517048
cols_6_distinct_100_corr_4_skew_4,136.0417912
cols_6_distinct_100_corr_4_skew_6,132.2267873
cols_6_distinct_100_corr_4_skew_8,145.3493919
cols_6_distinct_100_corr_6_skew_2,136.0554843
cols_6_distinct_100_corr_6_skew_4,148.3390369
cols_6_distinct_100_corr_6_skew_6,143.0680342
cols_6_distinct_100_corr_6_skew_8,139.4980805
cols_6_distinct_100_corr_8_skew_2,147.9527524
cols_6_distinct_100_corr_8_skew_4,142.6934092
cols_6_distinct_100_corr_8_skew_6,136.9634516
cols_6_distinct_100_corr_8_skew_8,131.6068139
cols_6_distinct_1000_corr_2_skew_2,145.3900847
cols_6_distinct_1000_corr_2_skew_4,130.7020628
cols_6_distinct_1000_corr_2_skew_6,128.4430354
cols_6_distinct_1000_corr_2_skew_8,134.9915347
cols_6_distinct_1000_corr_4_skew_2,136.9222522
cols_6_distinct_1000_corr_4_skew_4,149.9365065
cols_6_distinct_1000_corr_4_skew_6,147.4217064
cols_6_distinct_1000_corr_4_skew_8,136.3352818
cols_6_distinct_1000_corr_6_skew_2,148.0728498
cols_6_distinct_1000_corr_6_skew_4,150.5659075
cols_6_distinct_1000_corr_6_skew_6,147.1875427
cols_6_distinct_1000_corr_6_skew_8,134.566242
cols_6_distinct_1000_corr_8_skew_2,154.3741977
cols_6_distinct_1000_corr_8_skew_4,157.653471
cols_6_distinct_1000_corr_8_skew_6,131.3887868
cols_6_distinct_1000_corr_8_skew_8,129.1992335
cols_6_distinct_10000_corr_2_skew_2,459.1126864
cols_6_distinct_10000_corr_2_skew_4,460.0093639
cols_6_distinct_10000_corr_2_skew_6,460.3979843
cols_6_distinct_10000_corr_2_skew_8,459.4287004
cols_6_distinct_10000_corr_4_skew_2,458.5342941
cols_6_distinct_10000_corr_4_skew_4,460.4151416
cols_6_distinct_10000_corr_4_skew_6,459.3087845
cols_6_distinct_10000_corr_4_skew_8,477.6894321
cols_6_distinct_10000_corr_6_skew_2,512.5843401
cols_6_distinct_10000_corr_6_skew_4,515.2769682
cols_6_distinct_10000_corr_6_skew_6,514.2445018
cols_6_distinct_10000_corr_6_skew_8,513.0342247
cols_6_distinct_10000_corr_8_skew_2,514.2279954
cols_6_distinct_10000_corr_8_skew_4,514.8576949
cols_6_distinct_10000_corr_8_skew_6,514.7537637
cols_6_distinct_10000_corr_8_skew_8,513.5405841
cols_8_distinct_10_corr_2_skew_2,156.5387566
cols_8_distinct_10_corr_2_skew_4,184.4709461
cols_8_distinct_10_corr_2_skew_6,191.4275484
cols_8_distinct_10_corr_2_skew_8,178.9877284
cols_8_distinct_10_corr_4_skew_2,170.0062039
cols_8_distinct_10_corr_4_skew_4,177.3927228
cols_8_distinct_10_corr_4_skew_6,177.3674724
cols_8_distinct_10_corr_4_skew_8,195.661536
cols_8_distinct_10_corr_6_skew_2,190.7687421
cols_8_distinct_10_corr_6_skew_4,191.5059998
cols_8_distinct_10_corr_6_skew_6,182.4754629
cols_8_distinct_10_corr_6_skew_8,180.8429887
cols_8_distinct_10_corr_8_skew_2,186.6881108
cols_8_distinct_10_corr_8_skew_4,197.5465641
cols_8_distinct_10_corr_8_skew_6,198.5471013
cols_8_distinct_10_corr_8_skew_8,197.5268838
cols_8_distinct_100_corr_2_skew_2,192.2401712
cols_8_distinct_100_corr_2_skew_4,194.6879976
cols_8_distinct_100_corr_2_skew_6,188.4127185
cols_8_distinct_100_corr_2_skew_8,196.6030414
cols_8_distinct_100_corr_4_skew_2,144.5440433
cols_8_distinct_100_corr_4_skew_4,150.9311996
cols_8_distinct_100_corr_4_skew_6,192.0995347
cols_8_distinct_100_corr_4_skew_8,187.1541564
cols_8_distinct_100_corr_6_skew_2,192.0717885
cols_8_distinct_100_corr_6_skew_4,190.5002682
cols_8_distinct_100_corr_6_skew_6,203.6289222
cols_8_distinct_100_corr_6_skew_8,150.5984125
cols_8_distinct_100_corr_8_skew_2,200.9816
cols_8_distinct_100_corr_8_skew_4,152.670248
cols_8_distinct_100_corr_8_skew_6,151.3601573
cols_8_distinct_100_corr_8_skew_8,148.9593639
cols_8_distinct_1000_corr_2_skew_2,165.781306
cols_8_distinct_1000_corr_2_skew_4,160.2476461
cols_8_distinct_1000_corr_2_skew_6,157.5543988
cols_8_distinct_1000_corr_2_skew_8,160.77654
cols_8_distinct_1000_corr_4_skew_2,155.8578148
cols_8_distinct_1000_corr_4_skew_4,201.4201195
cols_8_distinct_1000_corr_4_skew_6,221.4377425
cols_8_distinct_1000_corr_4_skew_8,157.5876923
cols_8_distinct_1000_corr_6_skew_2,182.98105
cols_8_distinct_1000_corr_6_skew_4,185.8129504
cols_8_distinct_1000_corr_6_skew_6,189.5829437
cols_8_distinct_1000_corr_6_skew_8,200.9953361
cols_8_distinct_1000_corr_8_skew_2,156.2342448
cols_8_distinct_1000_corr_8_skew_4,155.7730799
cols_8_distinct_1000_corr_8_skew_6,148.9067454
cols_8_distinct_1000_corr_8_skew_8,136.382807
cols_8_distinct_10000_corr_2_skew_2,781.5969088
cols_8_distinct_10000_corr_2_skew_4,783.6649179
cols_8_distinct_10000_corr_2_skew_6,782.6250095
cols_8_distinct_10000_corr_2_skew_8,781.003298
cols_8_distinct_10000_corr_4_skew_2,781.2877493
cols_8_distinct_10000_corr_4_skew_4,779.2051291
cols_8_distinct_10000_corr_4_skew_6,781.9274886
cols_8_distinct_10000_corr_4_skew_8,782.9257307
cols_8_distinct_10000_corr_6_skew_2,779.9707038
cols_8_distinct_10000_corr_6_skew_4,780.2248168
cols_8_distinct_10000_corr_6_skew_6,782.476939
cols_8_distinct_10000_corr_6_skew_8,779.4701929
cols_8_distinct_10000_corr_8_skew_2,779.4923143
cols_8_distinct_10000_corr_8_skew_4,781.685195
cols_8_distinct_10000_corr_8_skew_6,775.2577174
cols_8_distinct_10000_corr_8_skew_8,770.2080274
